HIAN_Done,street_name,street_category,street_subcategory,street_period,street_profession,street_birthanddeath,street_title,street_equititle,street_family,street_ke,street_othernames,street_custom,street_specialization,street_theme,street_description
true,8 Tháng 3,Địa danh,,,,,,,,,,,,,"8/3 là Ngày Quốc tế Phụ nữ, đồng thời cũng là tên của Nhà máy Dệt 8/3. Nhà máy Dệt 8/3 được khởi công vào năm 1961 và khánh thành vào ngày 8/3/1965, với sự tham gia của Chủ tịch Hồ Chí Minh. Cơ sở này nằm trong một cụm sản xuất và đào tạo ngành dệt may ở phía Nam Hà Nội, bao gồm Nhà máy Dệt 8/3 (nay là khu vực các toà Vinhomes Times City của khu đô thị Times City), Nhà máy Sợi Hà Nội (nay là khu vực Vinhomes Times City Park Hill của khu đô thị Times City), Nhà máy Xuất nhập khẩu Dệt Minh Khai (nay là Chung cư Imperial Sky Garden), một cơ sở của Nhà máy Dệt kim Đông Xuân, Bệnh viện Dệt may và Trường Đại học Kinh tế - Kỹ thuật Công nghiệp (được thành lập để đào tạo nhân lực cho ngành dệt may). Phố 8 Tháng 3 kéo dài từ sông Kim Ngưu tới Quỳnh Mai, trên phố có Khu tập thể 8 Tháng 3 và Trường Mầm non 8 Tháng 3, phục vụ cho công nhân nhà máy."
true,19 Tháng 5,Sự kiện lịch sử,,Cách mạng & kháng chiến,,,,,,,,,,,"19/5/1890 là ngày sinh của Chủ tịch Hồ Chí Minh. Ông là một nhà cách mạng và chính khách Việt Nam. Ông là người sáng lập Đảng Cộng sản Việt Nam, từng đảm nhiệm nhiều vị trí như Chủ tịch nước, Thủ tướng và lãnh đạo Đảng trong nhiều giai đoạn khác nhau. Ông là một trong những nhân vật có ảnh hưởng lớn đến đời sống chính trị của Việt Nam Dân chủ Cộng hoà. Ông mất vào ngày 2/9/1969. Tên ông sau này được đặt cho chiến dịch quân sự giải phóng miền Nam và cho thành phố Sài Gòn - Gia Định để phản ánh dấu ấn lâu dài của ông trong lịch sử hiện đại của Việt Nam."
